payment_order_id,payment_amount,payment_fee,payment_method,payment_status
70905304,107.15,1.6,ONLINE,PAID
70905330,25.4,0.38,ONLINE,PAID
70905362,36.25,0,ONLINE,PAID
70905403,30.5,0.46,ONLINE,PAID
70905407,48.7,0.73,ONLINE,PAID
70905462,44.2,0.62,ONLINE,PAID
70905507,36.8,0.55,ONLINE,PAID
70905535,37.8,0.57,ONLINE,PAID
70905550,68.7,1.03,ONLINE,PAID
70905589,25.8,0.34,ONLINE,PAID
70905612,30.6,0.46,ONLINE,PAID
70906024,93.6,2.53,ONLINE,PAID
70906025,47.8,0.72,DEBIT,PAID
70906147,40.9,0.61,ONLINE,PAID
70906161,123.7,3.34,ONLINE,PAID
70906242,46.2,0,MEAL_BENEFIT,PAID
70906263,183.6,4.96,ONLINE,PAID
70906337,209.4,2.93,ONLINE,PAID
70906388,103.7,1.56,ONLINE,PAID
70906445,28.9,0.43,ONLINE,PAID
70906505,34.9,0,ONLINE,PAID
70906667,37.9,0.57,ONLINE,PAID
70906866,220.1,5.94,ONLINE,PAID
70906972,30.89,0.46,ONLINE,PAID
70907001,39.8,0.6,DEBIT,PAID
70907035,111.7,3.02,ONLINE,PAID
70907049,35.9,0.54,ONLINE,PAID
70907053,111.7,3.02,ONLINE,PAID
70907104,48.9,1.32,ONLINE,PAID
70907160,135.8,3.67,ONLINE,PAID
70907204,35.7,0.54,ONLINE,PAID
70907217,145.3,3.92,ONLINE,PAID
70907230,319.85,8.64,ONLINE,PAID
70907437,35.9,0.54,CREDIT,PAID
70907679,54.8,1.48,ONLINE,PAID
70907737,62.8,0.94,ONLINE,PAID
70907738,16.8,0.25,ONLINE,PAID
70907780,56.7,0.85,ONLINE,PAID
70907814,21.9,0.33,ONLINE,PAID
70907911,39.2,0.59,ONLINE,PAID
70907912,127.7,3.45,ONLINE,PAID
70907945,64.7,0.97,ONLINE,PAID
70907958,123.6,1.85,ONLINE,PAID
70908099,86.7,2.34,ONLINE,PAID
70908102,90.3,2.44,ONLINE,PAID
70908217,67.8,1.83,ONLINE,PAID
70908257,25.8,0.34,ONLINE,PAID
70908368,60.89,0.91,ONLINE,PAID
70908583,73.6,1.03,ONLINE,PAID
70908597,121.7,3.29,ONLINE,PAID
70908599,160.9,2.41,ONLINE,PAID
70908668,30.8,0.46,ONLINE,PAID
70908722,51.9,0.78,ONLINE,PAID
70908821,200,4,ONLINE,PAID
70908883,38.5,0.58,ONLINE,PAID
70908890,35.8,0.54,ONLINE,PAID
70908930,39.8,0.52,PAYMENT_LINK,PAID
70908996,30,0.45,ONLINE,PAID
70909002,224.5,6.06,ONLINE,PAID
70909010,33.3,0.5,ONLINE,PAID
70909092,335.06,5.03,ONLINE,PAID
70909111,32.79,0.49,ONLINE,PAID
70909137,141.9,3.83,ONLINE,PAID
70909192,57.1,0.8,ONLINE,PAID
70909209,58.2,0.81,ONLINE,PAID
70909263,67.8,1.83,ONLINE,PAID
70909290,42.3,0.63,ONLINE,PAID
70909665,94.8,2.56,ONLINE,PAID
70909726,119.2,3.22,ONLINE,PAID
70909731,127.7,3.45,ONLINE,PAID
70909972,24.4,0.49,ONLINE,PAID
70909999,49.32,0.74,ONLINE,PAID
70910000,48.8,0.73,ONLINE,PAID
70910054,103.92,1.56,ONLINE,PAID
70910107,36.4,0.55,ONLINE,PAID
70910109,68.4,1.85,ONLINE,PAID
70910192,34.8,0.45,ONLINE,PAID
70910208,79.75,1.2,ONLINE,PAID
70910386,26.5,0.4,ONLINE,PAID
70910588,55,0.77,ONLINE,PAID
70910721,51.8,0.78,ONLINE,PAID
70910763,237.3,6.41,ONLINE,PAID
70910880,167.2,4.51,ONLINE,PAID
70910956,83.7,2.26,ONLINE,PAID
70911020,36.8,0.74,ONLINE,PAID
70911035,51.6,0.77,ONLINE,PAID
70911051,41.8,1.13,ONLINE,PAID
70911068,19.9,0.3,ONLINE,PAID
70911070,36.9,0.55,ONLINE,PAID
70911103,39.9,0.6,ONLINE,PAID
70911139,32.9,0.49,ONLINE,PAID
70911196,80.4,2.17,ONLINE,PAID
70911197,25.83,0.39,ONLINE,PAID
70911230,58.56,0.88,ONLINE,PAID
70911232,258.9,3.88,CREDIT,PAID
70911252,49.9,0.65,ONLINE,PAID
70911261,206.4,2.68,ONLINE,PAID
70911319,53.65,0.8,ONLINE,PAID
70911351,83.3,2.25,ONLINE,PAID
70911359,24.9,0.32,DEBIT,PAID
70911369,86.8,2.34,ONLINE,PAID
70911418,62,0.62,ONLINE,PAID
70911451,22.3,0.33,ONLINE,PAID
70911555,115,1.61,DEBIT,PAID
70911621,66.9,1,ONLINE,PAID
70911663,169.9,3.4,ONLINE,PAID
70911771,70.8,1.91,ONLINE,PAID
70911793,30.8,0.46,ONLINE,PAID
70911893,146.9,2.2,DEBIT,PAID
70911931,23.3,0.35,ONLINE,PAID
70911971,71.3,1.93,ONLINE,PAID
70911972,161.7,2.41,ONLINE,PAID
70911973,93,1.3,ONLINE,PAID
70911991,42.8,0.64,ONLINE,PAID
70912086,10,0,VOUCHER,PAID
70912122,40.8,0.61,ONLINE,PAID
70912202,67.8,1.83,ONLINE,PAID
70912223,95.3,2.57,ONLINE,PAID
70912250,45.89,0.69,ONLINE,PAID
70912373,74.7,1.12,ONLINE,PAID
70912424,165.4,2.15,ONLINE,PAID
70912520,26.9,0.4,ONLINE,PAID
70912582,78.7,2.12,ONLINE,PAID
70912620,64,0.96,ONLINE,PAID
70912706,209.2,5.65,ONLINE,PAID
70912728,66,0.99,ONLINE,PAID
70912729,30.6,0.46,ONLINE,PAID
70912776,90.18,1.35,ONLINE,PAID
70912923,75.8,1.06,ONLINE,PAID
70912944,75.6,1.06,ONLINE,PAID
70912956,261,7.05,ONLINE,PAID
70913010,93.5,1.4,ONLINE,PAID
70913039,45.9,1.24,ONLINE,PAID
70913085,18.9,0.28,ONLINE,PAID
70913120,49.9,1.35,ONLINE,PAID
70913127,38.5,0.58,ONLINE,PAID
70913128,220.2,5.95,ONLINE,PAID
70913227,54.7,0.82,CREDIT,PAID
70913294,56.8,1.53,ONLINE,PAID
70913296,105.7,2.85,ONLINE,PAID
70913334,99.25,2.68,ONLINE,PAID
70913464,144.2,3.89,ONLINE,PAID
70913574,38.5,0.58,ONLINE,PAID
70913715,50.7,0.76,ONLINE,PAID
70913721,37.3,0.56,ONLINE,PAID
70913760,27,0.41,ONLINE,PAID
70913849,84.9,1.7,DEBIT,PAID
70914001,29,0.44,ONLINE,PAID
70914003,430,8.6,ONLINE,PAID
70914064,160.04,2.4,DEBIT,PAID
70914131,19.8,0.3,ONLINE,PAID
70914273,26.9,0.4,ONLINE,PAID
70914286,46.2,0.6,ONLINE,PAID
70914436,67.8,1.83,ONLINE,PAID
70914437,33.8,0.44,DEBIT,PAID
70914444,26.9,0.4,ONLINE,PAID
70914485,42.3,0.59,ONLINE,PAID
70914549,57.3,1.55,ONLINE,PAID
